Time,MD5,Controller,Blah,Blah,quantifier,prior,qudbias,item,sentence,startvalue,endvalue,rating
1568301597,937f23df9d5c1516a692c889d2208ea5,MultiSlider,33,0,EveryNot,Some,HowManyBias,9,<b> All </b> of the students passed the exam,0.00,100.00,4.83
1568301597,937f23df9d5c1516a692c889d2208ea5,MultiSlider,33,0,EveryNot,Some,HowManyBias,9,<b> None </b> of the students passed the exam,0.00,100.00,1.50
1568301597,937f23df9d5c1516a692c889d2208ea5,MultiSlider,33,0,EveryNot,Some,HowManyBias,9,<b> Some but not all </b> of the students passed the exam,0.00,100.00,96.83
1568301597,937f23df9d5c1516a692c889d2208ea5,MultiSlider,37,0,EveryNot,Some,AllBias,10,The kids answered <b> some but not all </b>of the questions correctly,0.00,100.00,92.83
1568301597,937f23df9d5c1516a692c889d2208ea5,MultiSlider,37,0,EveryNot,Some,AllBias,10,The kids answered <b> all </b>of the questions correctly,0.00,100.00,1.50
1568301597,937f23df9d5c1516a692c889d2208ea5,MultiSlider,37,0,EveryNot,Some,AllBias,10,The kids didn't answer <b> any </b>of the questions correctly,0.00,100.00,5.17
1568301597,937f23df9d5c1516a692c889d2208ea5,MultiSlider,28,0,EveryNot,All,AllBias,7,<b> Some but not all </b> of the infants have been changed,0.00,100.00,93.83
1568301597,937f23df9d5c1516a692c889d2208ea5,MultiSlider,28,0,EveryNot,All,AllBias,7,<b> All </b> of the infants have been changed,0.00,100.00,4.83
1568301597,937f23df9d5c1516a692c889d2208ea5,MultiSlider,28,0,EveryNot,All,AllBias,7,<b> None </b> of the infants have been changed,0.00,100.00,6.50
1568301597,937f23df9d5c1516a692c889d2208ea5,MultiSlider,69,0,EveryNot,None,HowManyBias,21, Julia failed<b> all </b>of the classes,0.00,100.00,3.17
1568301597,937f23df9d5c1516a692c889d2208ea5,MultiSlider,69,0,EveryNot,None,HowManyBias,21, Julia didn't fail<b> any </b>of the classes,0.00,100.00,32.83
1568301597,937f23df9d5c1516a692c889d2208ea5,MultiSlider,69,0,EveryNot,None,HowManyBias,21, Julia failed<b> some but not all </b>of the classes,0.00,100.00,62.83
1568301597,937f23df9d5c1516a692c889d2208ea5,MultiSlider,55,0,EveryNot,Some,AllBias,16,<b> Some but not all </b> of the employees will be fired,0.00,100.00,79.83
1568301597,937f23df9d5c1516a692c889d2208ea5,MultiSlider,55,0,EveryNot,Some,AllBias,16,<b> All </b> of the employees will be fired,0.00,100.00,5.83
1568301597,937f23df9d5c1516a692c889d2208ea5,MultiSlider,55,0,EveryNot,Some,AllBias,16,<b> None </b> of the employees will be fired,0.00,100.00,3.17
1568301597,937f23df9d5c1516a692c889d2208ea5,MultiSlider,50,0,EveryNot,Some,NoneBias,14, Roy hasn't been invited to<b> any </b>of the Major League Gaming tournaments,0.00,100.00,13.17
